kingdom,phylum,class_name,order,family          ,genus         ,species                      ,species_authority                                                                    ,infra_specific_taxa_assessed,common_name                                                                                                                                       ,synonyms                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,taxonomic_notes,redlist_category                                                                                                                                                                                                                                                                                   ,criteria                                                                                                                                                                                                                                                                                           ,date_assessed,year_published,contributers,reviewers               ,assessors                                                                                                                                                                                                                                                                                       ,justification,previously_published_red_list_assessments,reasons_for_change,regional_assessment_information,national_status                                                                                                                                  ,comments                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,range_description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,aoo                                                                                                                       ,eoo                                                                             ,location                    ,elevation                                                                                                                                                                                                        ,countries_occurence                                                                                                                                                                                                                             ,range_map,fao_marine_fishing_areas,endemic_status,population,current_population_trend                                                                                          ,year_of_population_estimate,mature_individuals                                                                                                                                ,severely_fragmented,number_of_subpopulation                        ,population_reduction_gen_time,generation_time                                      ,habitat_and_ecology                                                                                                       ,systems,list_of_habitats,habit                                                                       ,niche                                                                                                                                                                                                            ,habitat_status                                                                                                                                                                                                                                                           ,threats_and_major_threats                                                                                                                                                                                                                                                                                                                                                        ,list_of_threats,trade,stresses,conservation_actions,presence_in_protected_areas                                                                                                                                                                                                                                                                                         ,list_of_conservation_actions,conservation_needed                                                                                                                                                                                                         ,research_needed                                                                                                    ,ecosystem_services,bibliography                                                                                                                                                                                                                                           ,category_level1,category_level2
       ,      ,          ,     ,Vespertilionidae,Areilulus     ,"circumdatus(Temminck,"      ,"['Areilulus', 'circumdatus(Temminck,']"                                             ,                            ,Black-gilded Pipistrelle                                                                                                                          ,"Pipistrellus (Arielulus) circumdatus  (Temminck, 1840)
Pipistrellus circumdatus  (Temminck, 1840)
Vespertilio circumdatus  Temminck, 1840"                                                                                                                                                                                                                                                                                                                                      ,               ,LEAST CONCERN                                                                                                                                                                                                                                                                                      ,LEAST CONCERN                                                                                                                                                                                                                                                                                      ,             ,              ,            ,Rest of the participants,"A.C. Girish, J.K. Immanuel, S. Kandula, V.S. Korad, G. Nair, P.T. Nathan, A. Nobel, J. Koilraj, R. Rajashekar, K. Seedikkoya, T.K. Shrestha, E.A.A. Shukkur, D.P. Swamidoss, W. Yapa"                                                                                                          ,             ,                                         ,                  ,                               ,"India Least Concern
Nepal Near Threatened "                                                                                                    ,The species Pipistrellus (Arielulus) circumdatus has been upgraded to species Arielulus circumdatus. Only known from four locations. No information is available on population size or threats or habitat. Recent information for one site suggests that the habitat is not threatened.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,"China, India, Myanmar, NepalINDIA: Assam: Guwahati University; Meghalaya: Shillong; Sikkim: Hee Gyathang; NEPAL: Num"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,"> 2,000 sq km"                                                                                                           ,"> 20,000 sq km"                                                                ,4 / 2                       ,At least 2031m.                                                                                                                                                                                                  ,"China, India, Myanmar, Nepal"                                                                                                                                                                                                                  ,         ,                        ,              ,4-6 years ,                                                                                                                  ,                           ,Not known                                                                                                                                         ,                   ,Fragmented                                     ,                             ,Not known                                            ,                                                                                                                          ,       ,                ,                                                                            ,At least 2031m.                                                                                                                                                                                                  ,Stable                                                                                                                                                                                                                                                                   ,Not known                                                                                                                                                                                                                                                                                                                                                                        ,               ,     ,        ,                    ,None                                                                                                                                                                                                                                                                                                                ,                            ,"Habitat management, monitoring.Techniques not known at all. "                                                                                                                                                              ,"Survey, ecology. "                                                                                                ,                  ,"Bates & Harrison, 1997; Hutson  et al., 2001; Temminck, 1835, 1837, 1840, 1841."                                                                                                                                                                      ,               ,
       ,      ,          ,     ,Hipposideridae  ,Asellia       ,"tridens(Geoffroy,"          ,"['Asellia', 'tridens(Geoffroy,', 'E.,']"                                            ,                            ,Trident Bat                                                                                                                                       ,"Rhinolophus tridens  Geoffroy, E. 1813
Phyllorhina tridens var. murraiana  Anderson, 1881 "                                                                                                                                                                                                                                                                                                                                                                                     ,               ,NOT EVALUATED                                                                                                                                                                                                                                                                                      ,NOT EVALUATED                                                                                                                                                                                                                                                                                      ,             ,              ,            ,                        ,                                                                                                                                                                                                                                                                                                ,             ,                                         ,                  ,                               ,                                                                                                                                                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"West Africa, Arabia and Iran to PakistanPAKISTAN: Baluchistan: Panjgur, Nushki; Sind: Karachi, Thatta: AFGHANISTAN: Dilaram, Kandahar, Seistan"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,Not known                                                                                                                 ,Not known                                                                       ,Not known                   ,Crevices or in the roofs of cliffs                                                                                                                                                                               ,"West Africa, Arabia and Iran to Pakistan"                                                                                                                                                                                                      ,         ,                        ,              ,          ,Not known                                                                                                         ,                           ,Not known                                                                                                                                         ,                   ,                                               ,                             ,Not known                                            ,Arid areas                                                                                                                ,       ,                ,Gregarious and colonial                                                     ,Crevices or in the roofs of cliffs                                                                                                                                                                               ,Not known                                                                                                                                                                                                                                                                ,Not known                                                                                                                                                                                                                                                                                                                                                                        ,               ,     ,        ,                    ,None                                                                                                                                                                                                                                                                                                                ,                            ,                                                                                                                                                                                                                            ,                                                                                                                   ,                  ,"Anderson, 1881; Bates & Harrison, 1997; Geoffroy, E. 1813"                                                                                                                                                                                            ,               ,
       ,      ,          ,     ,Vespertilionidae,Barbastella   ,"leucomelas</I>(Cretzschmar,","['Barbastella', 'leucomelas</I>(Cretzschmar,']"                                     ,                            ,Eastern Barbastelle                                                                                                                               ,"Vespertilio leucomelas  Cretzschmar, 1830/31
Barbastella blandfordi  Bianchi, 1917
Plecotus darjelingensis  Hodgson, in Horsfield, 1855"                                                                                                                                                                                                                                                                                                                                        ,               ,"NEAR THREATENED
Although widely distributed, habitat change and destruction could have an impact on the populations in the future.  The species is not of least concern in the region."                                                                                                          ,"NEAR THREATENED
Although widely distributed, habitat change and destruction could have an impact on the populations in the future.  The species is not of least concern in the region."                                                                                                          ,             ,              ,            ,Rest of the participants,"S. Mistry, M. Muni, K.R. Senacha, T.K. Shrestha, K.S. Sreepada, C. Srinivasulu"                                                                                                                                                                                                                ,             ,                                         ,                  ,                               ,"India Near Threatened
Nepal Near Threatened
Pakistan Data Deficient "                                                                         ,"Hibernates in winter. Shrestha has observed 15 individuals near Mugu village in Rara National Park, Nepal. Locations or subpopulations may not be fragmented if found in Central and Western Nepal."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"Afghanistan, India, Iran,
Nepal: Annapurna conservation area
Makalu Barun National Park
Rara National Park
Nepal, map 60, 5 localities
Pakistan: Northern Areas
Gilgit
Naltar
NWFP
Dunga Gali
AFGHANISTAN: Kalat-us-Seraj, Kamdesh, Wazi Bagh; INDIA: Himachal Pradesh: Simla; Jammu & Kashmir: Akhnoor, Bhaderwah, Poonch, Yangi Dawar; Meghalaya: Khasi Hills, Shangpung; Sikkim: Hee Gyathang, Lachung, Mangpu; Uttar Pradesh: Kapkot; Uttaranchal: Mussoorie; West Bengal: Darjeeling, Hasimara, Karseong, Nimbong, Tong Song; NEPAL: Annapurna conservation area, Makalu Barun National Park, Rara National Park, Nepal, map 60, 5 localities; PAKISTAN: Northern Areas: Gilgit, Naltar; NWFP: Dunga Gali"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"> 2,000 sq km"                                                                                                           ,"> 20,000 sq km"                                                                ,Approximately 20 / not known,"Caves, tunnels, crevices, tree hollows, bark. 1800m. "                                                                                                                                                          ,"Afghanistan, India, Iran,
Nepal: Annapurna conservation area
Makalu Barun National Park
Rara National Park
Nepal, map 60, 5 localities
Pakistan: Northern Areas
Gilgit
Naltar
NWFP
Dunga Gali
"                                              ,         ,                        ,              ,          ,Not known                                                                                                         ,                           ,Not known                                                                                                                                         ,                   ,Not fragmented                                 ,                             ,Not known                                            ,Himalayan moist temperate forest and dry coniferous forest.                                                               ,       ,                ,"Solitary, nocturnal "                                                      ,"Caves, tunnels, crevices, tree hollows, bark. 1800m. "                                                                                                                                                          ,"Decrease in area < 10% in the last 5 years due to deforestation. Decrease in quality due to deforestation.  Habitat status is based on information from Nepal.  Since the threat is similar in other parts of the species distribution, habitat status may be the same.","Habitat loss, habitat alteration in the past, present and predicted in future. Threats influencing the status of the taxa are not understood, not reversible and have not ceased to be a threat."                                                                                                                                                                               ,               ,     ,        ,                    ,"NEPAL: Annapurna Conservation Area, Makalu Barun National Park, Rara National Park"                                                                                                                                                                                                                                ,                            ,Monitoring Propagation techniques not known at all.                                                                                                                                                                         ,Survey                                                                                                             ,                  ,"Bates & Harrison, 1997; Cretzschmar, 1826-31; Hutson  et al., 2001; Shrestha, 1997; Wilson & Reeder, 1993"                                                                                                                                            ,               ,
       ,      ,          ,     ,Hipposideridae  ,Coelops       ,frithii                      ,"['Coelops', 'frithii', 'Blyth,']"                                                   ,                            ,Bengali: Lejhin Patanak Chamchika  English: Tail-less Leaf-nosed Bat                                                                              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,               ,"NEAR THREATENED
Although widely distributed, habitat change and destruction could have an impact on the populations in the future.  It is Near Threatened on account of only four locations, no recent collections and loss of forest habitat.
"                                                 ,"NEAR THREATENED
Although widely distributed, habitat change and destruction could have an impact on the populations in the future.  It is Near Threatened on account of only four locations, no recent collections and loss of forest habitat.
"                                                 ,             ,              ,            ,Rest of the participants,"P.J.J. Bates, P.C.M.B. Digana, S. Kandula, G. Nair, E.A.A. Shukkur, R. Rajashekar, A. Thabah, W. Yapa"                                                                                                                                                                                         ,             ,                                         ,                  ,                               ,"Bangladesh Near Threatened
India Near Threatened     "                                                                                         ,There is decrease in forest due to human habitation expansion (Y.P. Sinha).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"Bangladesh, China, India, Indonesia, Malaysia, Myanmar, Taiwan and VietnamBANGLADESH: Sunderbans; INDIA: Meghalaya: Cherrapunji; West Bengal: Darjeeling; MYANMAR (NORTHERN): Htingnan "                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,"> 2,000 sq km."                                                                                                          ,"> 20,000 sq km."                                                               ,4 / 4                       ,Hollow trees or caves. Up to 1370m.                                                                                                                                                                              ,"Bangladesh, China, India, Indonesia, Malaysia, Myanmar, Taiwan and Vietnam"                                                                                                                                                                    ,         ,                        ,              ,          ,Not known                                                                                                         ,                           ,Not known                                                                                                                                         ,                   ,Fragmented                                     ,                             ,Not known                                            ,Forests                                                                                                                   ,       ,                ,Colonial species with up to 16 individuals.                                 ,Hollow trees or caves. Up to 1370m.                                                                                                                                                                              ,Decrease in area < 20% in 10 years due to deforestation. Decrease in quality due to deforestation.                                                                                                                                                                       ,"Deforestation.  Threat influencing the status of the taxa is not well understood, not reversible and has not ceased."                                                                                                                                                                                                                                                           ,               ,     ,        ,                    ,None                                                                                                                                                                                                                                                                                                                ,                            ,Monitoring public awarenessTechniques not known at all.                                                                                                                                                                     ,"Survey, limiting factor research, PHVA pending "                                                                  ,                  ,"Blyth, 1848; Bates & Harrison, 1997; Hutson  et al.  2001; Khan, 2001; Wilson & Reeder, 1993 "                                                                                                                                                        ,               ,
