id,name,parent_id,image,resource_id
1,Spiders,0,images/placeholder.svg,
2,Fishes,0,images/placeholder.svg,
3,Eels,2,images/placeholder.svg,
4,Earthworm Eel,3,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
5,Swamp Eel,3,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
6,Freshwater Eels,3,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
7,Spiny Eel,3,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
8,Snake Eels,3,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
9,Rice Fish,2,images/placeholder.svg,
10,Rice Fish,9,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
11,Spipe Fish,2,images/placeholder.svg,
12,Spipe Fish,11,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
13,Needle Fish,2,images/placeholder.svg,
14,Needlefish,13,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
15,Ray Finned Fish,2,images/placeholder.svg,
16,Ray-finned fish,15,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
17,Loaches,2,images/placeholder.svg,
18,Hillstream Loach,17,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
19,True Loaches,17,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
20,Carps Minnows,2,images/placeholder.svg,
21,Carps & Truw Minnow,20,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
22,Torrent Minnow,20,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
23,Panchax Fish,2,images/placeholder.svg,
24,Panchax fish,23,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
25,Featherback & Knifefishes,2,images/placeholder.svg,
26,Featheback & Knifefish,25,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
27,Perches,2,images/placeholder.svg,
28,Climbing Perch,27,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
29,Tiger Perch,27,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
30,Perchlet,27,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
31,Tiger Perch,2,images/placeholder.svg,
32,Snakehead,31,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
33,Cichlid,2,images/placeholder.svg,
34,Cichlid ,33,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
35,Gobies,2,images/placeholder.svg,
36,Sleeper Gobies,35,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
37,True Gobies,35,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
38,Leaffish,2,images/placeholder.svg,
39,Asian Leaffish,38,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
40,Gourami,2,images/placeholder.svg,
41,Gourami,40,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
42,Catfishes,2,images/placeholder.svg,
43,Ariid Catfish,42,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
44,Schilbid Catfish,42,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
45,Air-sac Catfish,42,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
46,Torrent Catfish,42,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
47,Silurid Catfish,42,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
48,Squarehead Catfish,42,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
49,Longtail Catfish,42,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
50,Air-breathing Catfish,42,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
51,Erethestid Catfish,42,images/placeholder.svg,d2334ebf-5f4b-4f38-b383-c7a75396ac0e
